date,market,product,contract,open,high,low,close,settlement,volume,open_interest,open_interest_change,roll,currency,unit,source,source_grade,selection_rule,source_url
2025-01-02,SHFE,Zinc,zn2502,25240.0,25305.0,25100.0,25265.0,25205.0,116495,130684,-5759,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250102.dat
2025-01-03,SHFE,Zinc,zn2502,24920.0,25040.0,24535.0,24665.0,24755.0,207727,114750,-15934,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250103.dat
2025-01-06,SHFE,Zinc,zn2502,24495.0,24595.0,24390.0,24490.0,24500.0,158926,109194,-5556,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250106.dat
2025-01-07,SHFE,Zinc,zn2502,24670.0,24760.0,24310.0,24395.0,24510.0,156531,104494,-4700,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250107.dat
2025-01-08,SHFE,Zinc,zn2502,24340.0,24420.0,24085.0,24225.0,24275.0,138138,102938,-1556,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250108.dat
2025-01-09,SHFE,Zinc,zn2502,24070.0,24195.0,23815.0,24110.0,23975.0,175565,100521,-2417,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250109.dat
2025-01-10,SHFE,Zinc,zn2502,24185.0,24275.0,24040.0,24145.0,24145.0,121428,97921,-2600,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250110.dat
2025-01-13,SHFE,Zinc,zn2502,24300.0,24360.0,24090.0,24290.0,24240.0,151731,96186,-1735,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250113.dat
2025-01-14,SHFE,Zinc,zn2502,24355.0,24355.0,24030.0,24045.0,24170.0,137780,95143,-1043,False,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250114.dat
2025-01-15,SHFE,Zinc,zn2503,24110.0,24195.0,23450.0,23525.0,23800.0,155839,101560,19731,True,CNY,CNY/tonne,SHFE official daily trading data,A_OFFICIAL_EXCHANGE,highest_open_interest_then_volume,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20250115.dat
